place,address,latitude,longitude,country_geocoded,country_added,country
university of tasmania,"Churchill Ave, Hobart TAS 7005, Australia",-42.9036462,147.325848,Australia,,Australia
ford motor company,"427 Cobra Drive, Pleasanton, KS 66075, USA",38.1830825,-94.702301,United States,,United States
free university of berlin,"Kaiserswerther Str. 16-18, 14195 Berlin, Germany",52.4543245,13.2934768,Germany,,Germany
kasetsart university,"50 Thanon Ngamwongwan, Khwaeng Lat Yao, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",13.8475687,100.5696191,Thailand,,Thailand
hiroshima shudo university,"1-chōme-1-1 Ōzukahigashi, Asaminami-ku, Hiroshima, 731-3195, Japan",34.433687,132.4039778,Japan,,Japan
university of shiga prefecture,"2500 Hassakachō, Hikone, Shiga 522-8533, Japan",35.2595247,136.2188729,Japan,,Japan
chalmers university of technology,"Chalmersplatsen 4, 412 96 Göteborg, Sweden",57.6898004,11.9741617,Sweden,,Sweden
hebrew university of jerusalem,Jerusalem,31.7945578,35.2414009,Israel,,Israel
university of nottingham malaysia campus,"B34, 43500 Semenyih, Selangor, Malaysia",2.9451936,101.8746127,Malaysia,,Malaysia
indiana university,"107 S Indiana Ave, Bloomington, IN 47405, USA",39.1754487,-86.512627,United States,,United States
naval university of engineering,"717 Jiefang Ave, Qiaokou Qu, Wuhan Shi, Hubei Sheng, China",30.5756202,114.2426218,China,,China
sichuan university,"China, Sichuan Sheng, Chengdu Shi, Qingyang Qu, Shuncheng St, 252号顺吉大厦10层B1-B2 邮政编码: 610017",30.663964,104.071022,China,,China
sintef,,,,,Norway,Norway
northern arizona university,"1899 S San Francisco St, Flagstaff, AZ 86011, USA",35.1804402,-111.6539683,United States,,United States
university of hong kong,"Pok Fu Lam, Hong Kong",22.2829989,114.1370848,Hong Kong,,Hong Kong
hiroshima university,"1 Chome-3-2 Kagamiyama, Higashihiroshima, Hiroshima 739-8511, Japan",34.4022006,132.713964,Japan,,Japan
ministry of finance and economic planning,"130 Dufferin Ave, London, ON N6A 6G8, Canada",42.9864818,-81.2528298,Canada,,Canada
university of california berkeley,"Berkeley, CA, USA",37.8718992,-122.2585399,United States,,United States
national university of malaysia,"43600 UKM, 43600 Bangi, Selangor, Malaysia",2.9305329,101.7787174,Malaysia,,Malaysia
arizona state university,"411 N Central Ave, Phoenix, AZ 85004, USA",33.5074106,-112.0650182,United States,,United States
stockholm university,"Frescativägen, 114 19 Stockholm, Sweden",59.3621737,18.057831,Sweden,,Sweden
university of london,"Senate House, Malet St, Bloomsbury, London WC1E 7HU, UK",51.5229378,-0.1308206,United Kingdom,,United Kingdom
brigham young university,"Provo, UT 84602, USA",40.2518435,-111.6493156,United States,,United States
university of innsbruck,"Innrain 52, 6020 Innsbruck, Austria",47.2633542,11.3838006,Austria,,Austria
jadavpur university,"188, Raja Subodh Chandra Mallick Rd, Jadavpur University Campus Area, Jadavpur, Kolkata, West Bengal 700032, India",22.4972777,88.3714278,India,,India
makerere university,"University Rd, Kampala, Uganda",0.3292819,32.5710773,Uganda,,Uganda
indian institutes of technology,"Main Gate Rd, IIT Area, Powai, Mumbai, Maharashtra 400076, India",19.1334302,72.9132679,India,,India
rti international,"5265 Capital Blvd, Raleigh, NC 27616, USA",35.8565866,-78.583621,United States,,United States
ştefan cel mare university of suceava,"Strada Universității 13, Suceava 720229, Romania",47.6418715,26.2455445,Romania,,Romania
university of strathclyde,"16 Richmond St, Glasgow G1 1XQ, UK",55.8621112,-4.2423903,United Kingdom,,United Kingdom
council for scientific and industrial research,"1920 Research Private, Ottawa, ON K1V 1J8, Canada",45.325343,-75.6659622,Canada,,Canada
stanford university,"450 Serra Mall, Stanford, CA 94305, USA",37.4274745,-122.169719,United States,,United States
