institution,betweenness,closeness,degree,eigenvector
chalmers university of technology,0.0021743227063007473,0.23355803091883479,0.0048367593712212815,0.002116113564661423
sichuan university,6.76977845461702e-05,0.2851630304310933,0.008464328899637243,0.03757126204478846
university of california berkeley,0.022192476314501233,0.3303478455338474,0.041112454655380895,0.11052860942954913
stockholm university,0.0156217522329587,0.3129349319891416,0.03264812575574365,0.0536177056739637
university of london,0.08931535599238258,0.3850317384325942,0.1414752116082225,0.28473347798243565
makerere university,0.003013131569050334,0.31090592744257856,0.022974607013301087,0.08527429374664541
rti international,0.0018132320733082333,0.2944574324621493,0.013301088270858524,0.05621226134806008
university of wisconsin madison,0.004855977790755451,0.26038696095337094,0.009673518742442563,0.009244679934311065
stanford university,0.028274898987722962,0.3502058340013315,0.06166868198307134,0.13648108236576909
university of california,0.002412404091285885,0.2893994357114067,0.006045949214026602,0.02494124523964471
portland state university,1.6227734496879525e-05,0.2296854769795026,0.0024183796856106408,0.002563665313532227
oregon state university,0.0006042038515130678,0.2723313169604063,0.0048367593712212815,0.01226904980246605
ghent university,0.01226140343795678,0.29712411083049095,0.014510278113663844,0.0470485696169327
umm al qura university,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
birla institute of technology and science,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
teri university,0.0,0.23856348431778418,0.0012091898428053204,0.0022868894271191507
utrecht university,0.008236519995868056,0.309824246780502,0.025392986698911726,0.04274501217115061
kyung hee university,0.0,0.001612253123740427,0.0012091898428053204,1.0603919050306407e-16
purdue university,0.00029020143200805614,0.2445533089534602,0.0048367593712212815,0.0027279153792527603
indian agricultural research institute,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
university of victoria,0.0090828564489953,0.28321962040998183,0.008464328899637243,0.012674095436942569
george mason university,0.00082682279821411,0.2743690072721699,0.008464328899637243,0.015041929504831315
wageningen university and research centre,0.04315766831926851,0.31044142655496515,0.06408706166868199,0.0546267952008738
agricultural research service,2.2671148243287644e-05,0.24904769657306036,0.003627569528415961,0.005018718261986706
university of california davis,0.005141014981643025,0.3052724703831391,0.020556227327690448,0.053330910717835724
unicef,0.013142616305961365,0.33897030153473084,0.05683192261185006,0.16171238327230758
university of bergen,0.0024055838467704088,0.27138284045379624,0.009673518742442563,0.022389755081469866
university of arizona,0.0005793017910959088,0.2892651436298701,0.012091898428053204,0.03125920940931728
university of colorado boulder,0.011511668752804577,0.3040811631816439,0.02781136638452237,0.05572582229905151
university of utah,0.0016817979070403825,0.28296249864837497,0.008464328899637243,0.0239178989285309
university of tokyo,0.009830123117275236,0.27008942137017766,0.012091898428053204,0.010478703738044224
tohoku university,0.0,0.20607153207351075,0.0012091898428053204,0.00039511644855218367
international fertilizer development center,0.0,0.22875830624674132,0.0012091898428053204,0.002059930207952085
university of birmingham,0.0,0.22152323543794242,0.0012091898428053204,0.002017766191087953
university of brasilia,0.00017771913533003002,0.2462925264805887,0.0024183796856106408,0.005366517236797396
romanian academy,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
national defence college india,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
