chalmers university of technology	university of tokyo	2	trans-continental
chalmers university of technology	aalto university	2	international
chalmers university of technology	university of gothenburg	3	domestic
chalmers university of technology	stockholm environment institute	2	Unknown
sichuan university	peking university	7	domestic
sichuan university	unicef	2	trans-continental
sichuan university	university of london	4	trans-continental
sichuan university	university of washington	2	trans-continental
sichuan university	chinese center for disease control and prevention	2	Unknown
sichuan university	johns hopkins university	2	trans-continental
sichuan university	kathmandu	2	international
university of california berkeley	university of california san diego	2	domestic
university of california berkeley	lawrence berkeley national laboratory	3	domestic
university of california berkeley	plymouth state university	2	domestic
university of california berkeley	federal university of rio de janeiro	2	Unknown
university of california berkeley	national autonomous university of mexico	2	international
university of california berkeley	university of massachusetts amherst	2	domestic
university of california berkeley	unicef	3	trans-continental
university of california berkeley	university of california davis	3	domestic
university of california berkeley	world health organization	8	trans-continental
university of california berkeley	world bank	2	trans-continental
university of california berkeley	university of pennsylvania	3	domestic
university of california berkeley	university of toronto	2	international
university of california berkeley	university of maryland baltimore	2	domestic
university of california berkeley	emory university	2	domestic
university of california berkeley	massachusetts institute of technology	2	domestic
university of california berkeley	carnegie mellon university	2	domestic
university of california berkeley	university of michigan	3	domestic
university of california berkeley	international institute for environment and development	2	trans-continental
university of california berkeley	university of london	2	trans-continental
university of california berkeley	arizona state university	3	domestic
university of california berkeley	university of colorado boulder	2	domestic
university of california berkeley	imperial college london	2	trans-continental
university of california berkeley	harvard university	9	domestic
university of california berkeley	united states department of agriculture	2	domestic
university of california berkeley	cornell university	2	domestic
university of california berkeley	duke university	2	domestic
university of california berkeley	columbia university	3	domestic
university of california berkeley	university of arizona	2	domestic
university of california berkeley	johns hopkins university	2	domestic
university of california berkeley	stanford university	2	domestic
university of california berkeley	mathematica policy research	2	Unknown
university of california berkeley	brigham and women s hospital	2	Unknown
university of california berkeley	yale university	2	domestic
university of california berkeley	aga khan university	2	trans-continental
stockholm university	university of lisbon	2	international
stockholm university	columbia university	3	trans-continental
stockholm university	university of melbourne	2	trans-continental
stockholm university	australian national university	6	trans-continental
stockholm university	swedish university of agricultural sciences	4	domestic
stockholm university	mid sweden university	2	domestic
stockholm university	karolinska institutet	3	domestic
stockholm university	university of oxford	2	international
stockholm university	university of gothenburg	4	domestic
stockholm university	royal swedish academy of sciences	3	Unknown
stockholm university	arizona state university	4	trans-continental
stockholm university	monash university	2	trans-continental
stockholm university	united nations	2	international
stockholm university	commonwealth scientific and industrial research organisation	4	trans-continental
stockholm university	royal institute of technology	3	domestic
stockholm university	stockholm environment institute	2	Unknown
stockholm university	stanford university	3	trans-continental
stockholm university	university of minnesota	3	trans-continental
stockholm university	utrecht university	2	international
stockholm university	keio university	2	trans-continental
stockholm university	bioversity international	3	international
stockholm university	international water management institute	2	trans-continental
stockholm university	university of illinois at urbana champaign	2	trans-continental
stockholm university	wageningen university and research centre	2	international
stockholm university	european commission	2	international
stockholm university	university of twente	2	international
stockholm university	international food policy research institute	2	trans-continental
university of london	european observatory on health systems and policies	2	Unknown
university of london	medical research council	10	trans-continental
university of london	karolinska institutet	5	international
university of london	university of zambia	3	trans-continental
university of london	ministry of health and social welfare	3	trans-continental
university of london	ifakara health institute	2	trans-continental
university of london	university of the western cape	4	trans-continental
university of london	save the children	24	trans-continental
university of london	world health organization	39	international
university of london	unicef	15	international
university of london	university of queensland	3	trans-continental
university of london	imperial college london	9	international
university of london	aga khan university	17	trans-continental
university of london	university of the witwatersrand	11	trans-continental
university of london	national and kapodistrian university of athens	2	international
university of london	johns hopkins university	36	trans-continental
university of london	harvard university	17	trans-continental
university of london	university of warwick	2	international
university of london	world bank	7	trans-continental
university of london	university college london	17	international
university of london	mahidol university	2	trans-continental
university of london	lund university	2	international
university of london	united nations population fund	4	trans-continental
university of london	university of oxford	11	international
university of london	queen mary university of london	3	international
university of london	stanford university	3	trans-continental
university of london	peking university	7	trans-continental
university of london	royal veterinary college	2	international
university of london	university of edinburgh	7	international
university of london	state university of campinas	2	Unknown
university of london	universidade federal de pelotas	5	trans-continental
university of london	bill melinda gates foundation	5	trans-continental
university of london	cornell university	2	trans-continental
university of london	makerere university	3	trans-continental
university of london	international centre for diarrhoeal disease research bangladesh	2	Unknown
university of london	graduate institute of international and development studies	2	Unknown
