Header
newcastle university	university of edinburgh	2	['2011', '2012']	domestic
newcastle university	university of leeds	2	['2017', '2017']	domestic
hampton university	utah state university	2	['2006', '2006']	domestic
hampton university	university of wisconsin madison	2	['2006', '2006']	domestic
agricultural research service	university of california davis	2	['2005', '2014']	domestic
agricultural research service	wageningen university and research centre	3	['2011', '2014', '2016']	trans-continental
agricultural research service	united states department of agriculture	3	['2011', '2014', '2017']	domestic
university of california los angeles	duke university	2	['2010', '2015']	domestic
university of california los angeles	inter american development bank	2	['2015', '2017']	domestic
university of california los angeles	world health organization	2	['2016', '2017']	domestic
university of california los angeles	university of pennsylvania	2	['2017', '2018']	domestic
university of nairobi	university of washington	2	['2007', '2015']	trans-continental
university of nairobi	great lakes university	2	['2013', '2013']	trans-continental
university of nairobi	indian ministry of environment and forests	2	['2013', '2013']	trans-continental
university of nairobi	university of antwerp	4	['2013', '2014', '2017', '2017']	trans-continental
university of nairobi	university of toronto	5	['2013', '2013', '2014', '2017', '2017']	trans-continental
university of nairobi	georgetown university law center	2	['2013', '2014']	trans-continental
university of nairobi	institute of tropical medicine antwerp	2	['2013', '2017']	trans-continental
university of nairobi	university of auckland	2	['2013', '2014']	trans-continental
university of nairobi	university of the witwatersrand	2	['2013', '2014']	international
university of nairobi	georgetown university	2	['2013', '2016']	trans-continental
university of nairobi	university of edinburgh	2	['2013', '2017']	trans-continental
university of nairobi	world health organization	2	['2014', '2018']	trans-continental
university of nairobi	university of london	2	['2014', '2017']	trans-continental
university of nairobi	university of atlanta	2	['2016', '2017']	trans-continental
university of nairobi	university of birmingham	2	['2016', '2017']	trans-continental
university of nairobi	university of queensland	2	['2017', '2017']	trans-continental
university of kwazulu natal	university of cape town	12	['2009', '2009', '2011', '2012', '2012', '2016', '2016', '2016', '2016', '2016', '2017', '2018']	domestic
university of kwazulu natal	university of the witwatersrand	12	['2009', '2009', '2009', '2011', '2012', '2014', '2015', '2016', '2016', '2016', '2018', '2018']	domestic
university of kwazulu natal	columbia university	2	['2009', '2012']	trans-continental
university of kwazulu natal	centre for the aids programme of research in south africa	5	['2009', '2012', '2012', '2016', '2017']	domestic
university of kwazulu natal	medical research council	2	['2009', '2012']	trans-continental
university of kwazulu natal	save the children	3	['2009', '2012', '2016']	trans-continental
university of kwazulu natal	university of the western cape	4	['2009', '2009', '2014', '2016']	domestic
university of kwazulu natal	university of pretoria	4	['2011', '2014', '2014', '2016']	domestic
university of kwazulu natal	north west university	3	['2011', '2014', '2016']	trans-continental
university of kwazulu natal	stellenbosch university	3	['2011', '2016', '2018']	domestic
university of kwazulu natal	university of the free state	2	['2011', '2016']	domestic
university of kwazulu natal	unicef	2	['2016', '2018']	trans-continental
