source  target  weight  years   connection
king s college london	university of london	2	['2007', '2008']	domestic
world agroforestry centre	overseas development institute	2	['2005', '2006']	trans-continental
center for global development	university of manchester	2	['2007', '2008']	trans-continental
center for global development	world bank	2	['2004', '2006']	domestic
university of bristol	university of london	2	['2007', '2008']	domestic
united states geological survey	university of oxford	2	['2003', '2006']	trans-continental
world bank	george washington university	2	['2005', '2007']	domestic
world bank	world health organization	4	['2004', '2004', '2007', '2008']	domestic
world bank	cornell university	2	['2003', '2006']	domestic
world bank	harvard university	4	['2006', '2007', '2007', '2007']	domestic
world bank	university of manchester	3	['2005', '2005', '2006']	trans-continental
world bank	bill melinda gates foundation	2	['2004', '2006']	domestic
world bank	makerere university	2	['2003', '2006']	trans-continental
world bank	johns hopkins university	4	['2004', '2006', '2006', '2007']	domestic
world bank	university of london	3	['2004', '2005', '2006']	trans-continental
world bank	aga khan university	3	['2005', '2006', '2006']	trans-continental
world bank	unicef	4	['2005', '2006', '2007', '2007']	domestic
world bank	pennsylvania state university	4	['2005', '2005', '2006', '2007']	domestic
world bank	university of toronto	2	['2007', '2007']	international
world bank	london school of economics and political science	2	['2007', '2008']	trans-continental
medical research council	johns hopkins university	3	['2008', '2008', '2008']	international
medical research council	university of london	5	['2007', '2007', '2008', '2008', '2008']	trans-continental
medical research council	save the children	3	['2008', '2008', '2008']	international
medical research council	brac university	2	['2008', '2008']	trans-continental
medical research council	university of edinburgh	2	['2008', '2008']	trans-continental
university of california davis	university of edinburgh	2	['2007', '2008']	trans-continental
university of california davis	university of auckland	2	['2007', '2008']	trans-continental
university of california davis	university of london	2	['2007', '2008']	trans-continental
university of california davis	johns hopkins university	2	['2007', '2008']	domestic
university of california davis	university of toronto	2	['2007', '2008']	international
university of california davis	university of the philippines	2	['2007', '2008']	trans-continental
united states environmental protection agency	university of georgia	2	['2002', '2008']	domestic
united states environmental protection agency	university of melbourne	2	['2005', '2008']	trans-continental
university of queensland	world health organization	2	['2007', '2007']	domestic
university of queensland	harvard university	4	['2007', '2007', '2007', '2007']	domestic
university of queensland	university of washington	3	['2007', '2007', '2007']	domestic
save the children	aga khan university	4	['2005', '2005', '2007', '2008']	trans-continental
save the children	johns hopkins university	7	['2005', '2005', '2007', '2008', '2008', '2008', '2008']	domestic
save the children	university of london	5	['2005', '2005', '2006', '2007', '2008']	trans-continental
save the children	unicef	5	['2005', '2005', '2005', '2008', '2008']	domestic
save the children	all india institute of medical sciences	2	['2006', '2008']	trans-continental
save the children	university of edinburgh	2	['2007', '2008']	trans-continental
save the children	brac university	2	['2008', '2008']	trans-continental
john radcliffe hospital	university of oxford	2	['2005', '2006']	domestic
university of london	university of aberdeen	5	['2006', '2006', '2006', '2008', '2008']	domestic
university of london	world health organization	6	['2004', '2005', '2007', '2007', '2008', '2008']	trans-continental
university of london	aga khan university	5	['2003', '2005', '2006', '2007', '2008']	trans-continental
university of london	johns hopkins university	8	['2003', '2005', '2006', '2006', '2007', '2008', '2008', '2008']	trans-continental
university of london	unicef	3	['2003', '2005', '2007']	trans-continental
university of london	universidade federal de pelotas	3	['2004', '2005', '2006']	trans-continental
university of london	state university of campinas	2	['2005', '2006']	trans-continental
university of london	university of california san francisco	2	['2005', '2008']	trans-continental
university of london	university of edinburgh	3	['2006', '2007', '2008']	domestic
university of london	united nations population fund	2	['2006', '2006']	trans-continental
university of london	international centre for diarrhoeal disease research bangladesh	2	['2006', '2007']	trans-continental
university of london	overseas development institute	2	['2006', '2008']	domestic
university of london	university of auckland	2	['2007', '2008']	trans-continental
university of london	university of toronto	2	['2007', '2008']	trans-continental
university of london	university of the philippines	2	['2007', '2008']	trans-continental
universidade federal de pelotas	johns hopkins university	2	['2006', '2007']	trans-continental
university of toronto	johns hopkins university	2	['2007', '2008']	international
university of toronto	university of maryland baltimore	2	['2007', '2007']	international
university of toronto	university of california san francisco	2	['2007', '2008']	international
university of toronto	university of edinburgh	2	['2007', '2008']	trans-continental
university of toronto	university of auckland	2	['2007', '2008']	trans-continental
university of toronto	university of the philippines	2	['2007', '2008']	trans-continental
university of washington	world health organization	2	['2007', '2007']	domestic
university of washington	harvard university	2	['2007', '2007']	domestic
makerere university	cornell university	2	['2003', '2006']	trans-continental
cornell university	university of georgia	2	['2000', '2006']	domestic
cornell university	johns hopkins university	2	['2006', '2008']	domestic
monash university	university of melbourne	2	['2008', '2008']	domestic
bill melinda gates foundation	world health organization	2	['2003', '2004']	domestic
bill melinda gates foundation	johns hopkins university	2	['2004', '2006']	domestic
pennsylvania state university	university of manchester	3	['2005', '2005', '2006']	trans-continental
research triangle park	columbia university	2	['2005', '2006']	domestic
university of the philippines	johns hopkins university	2	['2007', '2008']	trans-continental
university of the philippines	university of auckland	2	['2007', '2008']	trans-continental
university of the philippines	university of edinburgh	2	['2007', '2008']	trans-continental
unicef	world health organization	3	['2007', '2007', '2008']	domestic
unicef	aga khan university	5	['2003', '2005', '2005', '2005', '2006']	trans-continental
unicef	johns hopkins university	9	['2003', '2005', '2005', '2006', '2007', '2008', '2008', '2008', '2008']	domestic
unicef	centers for disease control and prevention	3	['2003', '2004', '2005']	domestic
unicef	columbia university	3	['2004', '2006', '2007']	domestic
world health organization	university of california berkeley	3	['2006', '2007', '2008']	domestic
world health organization	johns hopkins university	5	['2004', '2008', '2008', '2008', '2008']	domestic
world health organization	harvard university	2	['2005', '2007']	domestic
world health organization	university of amsterdam	2	['2007', '2008']	trans-continental
world health organization	university of geneva	2	['2007', '2007']	trans-continental
world health organization	centers for disease control and prevention	2	['2007', '2008']	domestic
world health organization	university of manchester	2	['2007', '2007']	trans-continental
centers for disease control and prevention	aga khan university	2	['2003', '2005']	trans-continental
centers for disease control and prevention	johns hopkins university	2	['2003', '2005']	domestic
university of auckland	johns hopkins university	2	['2007', '2008']	trans-continental
university of auckland	university of edinburgh	2	['2007', '2008']	trans-continental
aga khan university	johns hopkins university	8	['2003', '2005', '2005', '2006', '2006', '2007', '2008', '2008']	trans-continental
aga khan university	international centre for diarrhoeal disease research bangladesh	2	['2006', '2007']	international
university of oxford	harvard university	2	['2004', '2008']	trans-continental
university of oxford	kenya medical research institute	2	['2006', '2007']	trans-continental
university of aberdeen	university of ghana	2	['2007', '2007']	trans-continental
university of aberdeen	university of indonesia	2	['2007', '2007']	trans-continental
university of edinburgh	johns hopkins university	3	['2007', '2008', '2008']	trans-continental
university of california berkeley	lawrence berkeley national laboratory	2	['1999', '1999']	domestic
international centre for diarrhoeal disease research bangladesh	johns hopkins university	2	['2006', '2007']	trans-continental
lawrence berkeley national laboratory	indian institute of science	2	['1999', '2002']	trans-continental
ithaca college	johns hopkins university	2	['2005', '2005']	domestic
